,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,건축허가면적증감률,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수
0,서울특별시 종로구,1.0,-45.047,2.0,-2.564,4.0,76.602,11110.0,-6.05,53.58,2.09,1685.0,294.28,7.59,13.77,88.29,-22.75,-1.1,85.64,7.05,33.43,0.35
1,서울특별시 중구,1.0,-43.708,2.0,-7.973,3.0,83.795,11140.0,-4.95,66.01,3.86,1977.0,574.34,12.81,19.21,103.8,-26.14,0.19,81.09,6.33,40.71,0.17
2,서울특별시 용산구,1.0,-34.927,4.0,-1.781,2.0,82.572,11170.0,-1.41,46.45,0.78,1218.0,81.41,3.26,13.31,61.11,-24.05,-0.25,91.0,6.24,11.76,0.1
3,서울특별시 성동구,1.0,-31.23,1.0,2.66,0.0,80.584,11200.0,-5.62,39.16,0.73,1607.0,46.12,4.93,14.79,45.33,-34.39,-2.68,73.24,7.22,12.23,0.07
4,서울특별시 광진구,1.0,-8.694,2.0,-1.62,2.0,71.326,11215.0,-5.42,33.34,0.4,970.0,17.43,1.82,27.96,40.52,17.83,-1.38,93.13,4.6,14.52,0.06
5,서울특별시 동대문구,1.0,-33.892,5.0,-3.877,3.0,81.185,11230.0,-5.6,26.71,0.45,639.0,23.17,2.94,13.95,40.02,7.9,-0.58,92.1,6.62,10.63,0.12
6,서울특별시 중랑구,1.0,-11.352,5.0,-1.54,1.0,75.818,11260.0,-5.99,25.23,0.27,269.0,11.16,5.37,17.11,36.68,-17.19,-1.62,92.9,7.33,12.76,0.05
7,서울특별시 성북구,1.0,-23.652,4.0,-5.75,4.0,77.175,11290.0,-1.99,25.8,0.28,2089.0,12.42,7.46,25.69,34.44,12.28,1.51,93.6,6.0,12.68,0.1117391304347826
8,서울특별시 강북구,1.0,-19.047,5.0,-2.888,1.0,79.188,11305.0,-6.7,24.29,0.26,219.0,9.12,5.42,5.61,44.49,-1.58,-1.45,90.76,6.36,12.56,0.03
9,서울특별시 도봉구,1.0,-8.455,5.0,-0.415,1.0,74.064,11320.0,-5.87,25.27,0.23,289.0,9.42,6.78,8.88,40.16,177.68,-1.72,82.32,7.71,12.21,0.12
10,서울특별시 노원구,1.0,-7.936,5.0,0.293,0.0,70.157,11350.0,-6.26,20.58,0.24,966.0,11.02,3.52,7.38,30.18,60.3,-2.03,88.88,6.78,12.53,0.04
11,서울특별시 은평구,1.0,-2.578,4.0,0.437,1.0,68.463,11380.0,-4.43,22.8,0.21,353.0,9.88,7.23,4.83,31.27,24.54,-0.69,92.76,5.82,11.71,0.07
12,서울특별시 서대문구,1.0,-26.403,2.0,-0.431,1.0,77.054,11410.0,-1.97,32.19,0.42,1476.0,28.8,4.84,19.92,43.69,-41.73,-0.3,89.82,6.14,13.66,0.3
13,서울특별시 마포구,1.0,-16.282,2.0,2.279,1.0,68.128,11440.0,-2.45,38.93,0.84,1797.0,67.86,8.54,19.93,40.79,16.63,-0.48,84.87,6.06,16.03,0.17
14,서울특별시 양천구,1.0,-6.286,5.0,-0.852,1.0,69.57,11470.0,-4.62,28.9,0.29,658.0,15.36,3.75,19.32,30.66,25.26,-1.4,85.32,7.58,14.28,0.02
15,서울특별시 강서구,1.0,2.839,2.0,5.94,0.0,60.138,11500.0,-4.68,28.23,0.54,1792.0,48.3,5.82,11.07,28.78,32.1,-1.1,73.43,6.09,13.7,0.07
16,서울특별시 구로구,1.0,-5.962,4.0,0.085,0.0,72.966,11530.0,-2.99,27.04,0.7,1685.0,41.52,3.04,32.06,36.2,16.75,0.28,84.97,7.03,17.02,0.03
17,서울특별시 금천구,1.0,-28.739,4.0,2.573,0.0,73.975,11545.0,-4.86,29.72,1.35,1947.0,82.49,0.39,16.14,51.31,10.25,-0.56,89.99,6.08,18.36,0.27
18,서울특별시 영등포구,1.0,-23.957,4.0,-4.774,3.0,79.464,11560.0,-3.69,42.61,1.33,14750.0,171.47,2.25,14.88,41.17,16.03,-0.37,94.4,7.95,23.21,0.03
19,서울특별시 동작구,1.0,-6.983,2.0,-0.4,1.0,70.629,11590.0,-3.04,31.44,0.3,944.0,18.32,11.68,15.94,34.57,-0.16,-0.22,93.24,5.39,10.54,0.05
20,서울특별시 관악구,1.0,-13.697,4.0,-2.941,2.0,67.15,11620.0,-6.51,25.37,0.22,1376.0,11.2,1.81,12.2,30.84,-13.33,-0.44,91.44,4.56,11.54,0.02
21,서울특별시 서초구,1.0,4.548,3.0,-1.339,2.0,63.83,11650.0,-2.99,62.78,1.4,5352.0,125.18,5.43,8.59,39.54,0.96,-1.0,91.85,4.41,25.39,0.35
22,서울특별시 강남구,1.0,-0.311,4.0,-3.139,1.0,59.366,11680.0,-1.27,66.23,1.83,5363.0,192.19,8.27,15.36,33.4,5.06,0.34,88.45,4.72,28.61,0.1117391304347826
23,서울특별시 송파구,1.0,-3.366,2.0,2.428,0.0,59.529,11710.0,-1.27,46.89,0.65,2315.0,51.01,3.33,14.94,25.81,-78.51,1.03,89.74,4.19,13.97,0.06
24,서울특별시 강동구,1.0,-17.699,5.0,-2.255,2.0,68.272,11740.0,-2.79,41.12,0.39,533.0,27.17,8.25,14.77,33.58,-3.84,1.84,94.33,5.07,13.58,0.02
25,부산광역시 중구,1.0,-51.989,5.0,-1.418,1.0,80.871,26110.0,-9.45,31.57,2.03,47.0,100.22,128.84,7.52,120.36,-38.38,-1.39,90.88,10.62,29.59,0.76
26,부산광역시 서구,1.0,-47.947,3.0,-3.793,2.0,85.443,26140.0,-4.81,16.32,0.52,104.0,40.68,9.18,5.8,60.6,-64.91,-1.55,96.9,9.86,14.69,0.1
27,부산광역시 동구,1.0,-55.607,5.0,-3.254,2.0,86.257,26170.0,-1.46,18.93,1.17,88.0,63.02,0.79,9.63,71.67,-13.76,2.03,97.11,12.51,18.52,0.12
